Distance_(microns),svbint,krint,svb,mlptint,eve-en,cad,kr,mlpt,gt
0,297.9821429,113.9642857,438.375,141.4285714,366.375,110.8571429,223.625,115.6964286,267.625
1,305.1098901,112.4505495,455.6813187,147,366.6813187,107.1098901,234.9120879,121.2967033,273.2857143
2,402.7416667,139.375,544.3166667,177.2,452.2916667,132.0833333,295.9833333,146.5,353.3583333
3,445.2822581,148.6370968,585.7822581,190.483871,521.0806452,142.483871,318.5806452,156.4112903,382.4596774
4,493.8333333,151.0555556,593.1507937,191.6190476,564.5238095,144.8412698,312.7460317,155.6349206,384.3174603
5,522.9844961,152.1472868,579.9379845,189.3953488,615.9457364,143.3643411,304.9689922,153.3410853,392.620155
6,495.6992481,152.481203,571.7443609,184.6240602,665.4887218,143.5263158,308.9699248,151.8796992,398.6090226
7,465.7913669,150.0359712,562.2302158,178.8633094,681.7194245,144.5179856,309.618705,150.9496403,384.3021583
8,453.1172414,149.3472222,555.9103448,179.2777778,660.4,146.9513889,304.4,157.4652778,388.2206897
9,470.8758621,152.9241379,582.7241379,186.8482759,687.9034483,152.2206897,317.2758621,168.2275862,402.6965517
10,466.7142857,154.0844156,581.8311688,184.6948052,711.3506494,150.8506494,317.5909091,166.5,388.2012987
11,472.9308176,161.7987421,574.7044025,182.4339623,747.1886792,150.2012579,319.9811321,161.8301887,397.9748428
12,490.9012346,162.382716,566.3271605,182.9197531,759.2098765,148.7592593,324.4567901,157.8209877,399.4444444
13,482.4390244,160.0304878,559.0792683,182.7378049,752.4939024,149.9146341,320.6341463,155.3780488,406.6219512
14,473.7904192,157.6167665,553.3892216,180.1916168,750.1017964,150.7664671,321.6467066,151.8083832,415.4550898
15,446.3411765,157.2588235,546.4470588,180.3647059,734.5411765,150.8,320.6882353,150.5588235,435.4470588
16,445.6551724,154.3908046,536.2356322,179.2701149,731.8275862,148,321.2471264,146.4712644,434.7183908
17,445.6574586,150.2596685,516.4696133,177.8287293,742.6685083,148.7348066,321.7127072,142.5414365,422.558011
18,457.6737968,151.5240642,508.4117647,179.0962567,747.6149733,149.827957,327.0374332,144.4139785,415.1550802
19,492.8989362,158.0106383,528.1595745,187.6914894,744.4202128,151.4414894,338.2606383,148.9734043,428.7234043
20,482.735,155.91,531.945,187.22,699.5,148.075,330.87,144.815,423.555
21,480.3233831,154.2537313,535.199005,189.3134328,699.9054726,149.8358209,331.0199005,143.9452736,415.681592
22,493.7722772,155.4752475,534.6435644,190.549505,691.029703,150.7178218,335.8910891,144.1980198,406.6980198
23,519.0594059,158.2673267,542.6188119,192.8910891,689.019802,153.450495,339.6485149,143.5148515,409.2029703
24,508.9458128,160.7487685,549.7536946,195.5123153,714.6650246,152.6650246,334.3349754,143.4975369,415.9753695
25,485.4656863,163.9264706,545.0392157,191.8431373,741.0294118,152.5882353,328.9656863,143.4509804,417.8921569
26,480.5294118,167.8921569,533.6029412,186.0637255,729.8872549,155.7843137,332.8921569,140.5931373,419.3284314
27,494.4195122,174.1073171,528.6243902,182.6292683,705.8439024,157.0439024,334.6585366,138.4585366,419.1219512
28,514.1609756,178.7073171,520.5268293,182.7414634,697.395122,155.4878049,336.7609756,135.1170732,416.7463415
29,497.097561,183.6341463,518.0536585,182.6487805,680.0439024,153.8487805,336.5707317,132.6829268,421.7219512
30,483.8252427,178.8009709,514.184466,180.3446602,669.1067961,151.6553398,337.3009709,133.276699,426.8349515
31,489.1456311,179.5776699,506.276699,179.5339806,641.9660194,151.3252427,340.131068,135.3980583,409.5873786
