Distance_(microns),svbint,krint,svb,mlptint,eve-en,cad,kr,mlpt,gt
0,413.1012658227848,427.87974683544303,383.8481012658228,464.77848101265823,290.22151898734177,232.9620253164557,346.19620253164555,831.1455696202531,620.1265823
1,408.7361963190184,426.81595092024537,389.2269938650307,479.5766871165644,296.1963190184049,236.49079754601226,351.42944785276075,815.2883435582822,616.6993865030674
2,420.8343195266272,426.0769230769231,387.91715976331363,472.8343195266272,303.8165680473373,234.57396449704143,354.2899408284024,803.3550295857988,613.2426035502958
3,448.78285714285715,435.46285714285716,402.6171428571429,468.4057142857143,305.30285714285714,233.00571428571428,365.5257142857143,805.52,610.6914285714286
4,423.95081967213116,424.6174863387978,404.57377049180326,472.9836065573771,308.3278689,234.81967213114754,369.1475409836066,806.6502732240438,598.2732240437158
5,415.73936170212767,405.47872340425533,394.1063829787234,485.5904255319149,315.13829787234044,233.60638297872342,364.01063829787233,807.8510638297872,595.5106382978723
6,424.88659793814435,398.46907216494844,412.77319587628864,480.52061855670104,322.11340206185565,235.7577319587629,360.96907216494844,870.8453608247422,611.2577319587629
7,421.24120603015075,399.02010050251255,411.0100502512563,478.8994974874372,323.36180904522615,248.16582914572865,353.94472361809045,885.2964824120603,630.9045226130653
8,417.35121951219514,398.01951219512193,409.7804878,487.74146341463415,326.85853658536587,252.7609756097561,368.99024390243903,862.1268292682927,642.9853658536585
9,417.0190476190476,401.70952380952383,412.3666666666667,473.1095238095238,322.43809523809523,250.86190476190475,373.2857142857143,855.0571428571428,650.1761904761905
10,414.6759259259259,408.22222222222223,418.75,461.50925925925924,333.85185185185185,252.8935185185185,375.02314814814815,826.9629629629629,644.6944444444445
11,413.3273542600897,412.31390134529147,430.84304932735427,483.68161434977577,345.84304932735427,249.52914798206277,373.10762331838566,799.2511210762332,643.9865470852018
12,418.74891774891773,408.4978354978355,428.94372294372295,492.2943722943723,357.20346320346323,258.030303,357.7878787878788,745.5367965367965,641.1645021645022
13,423.14406779661016,406.21610169491527,422.1525423728813,465.5762711864407,353.52542372881356,260.91101694915255,362.4788136,727.1652542372881,637.0550847457627
14,425.82553191489365,413.69787234042553,428.41702127659573,490.3191489361702,351.51063829787233,264.25106382978726,355.6255319148936,737.1829787234043,641.4765957446808
15,428.3050847457627,403.81779661016947,431.1186440677966,503.0593220338983,363.60593220338984,270.08474576271186,362.1949152542373,740.4830508474577,644.6906779661017
16,429.8644068,398.8601694915254,424.53389830508473,496.91525423728814,378.77966101694915,270.9491525423729,364.72033898305085,726.6228813559322,648.6059322033898
17,428.28389830508473,400.1737288135593,415.3644068,505.10169491525426,379.47457627118644,272.91525423728814,355.24152542372883,709.5211864,656.8855932203389
18,423.8396624472574,401.51054852320675,422.0801687763713,490.1898734177215,370.4978902953587,271.7552742616034,357.56962025316454,709.0253164556962,671.7637130801688
19,423.38818565400845,404.9156118,429.1856540084388,482.2447257383966,370.55274261603375,271.42616033755274,358.49367088607596,695.3797468,692.4556962025316
20,423.40506329113924,397.15611814345993,439.2911392405063,465.0801687763713,376.40928270042195,269.2953586,362.1097046413502,647.8945147679325,710.4135021097046
21,407.49367088607596,400.46835443037975,435.65400843881855,462.54430379746833,385.80168776371306,268.4599156118143,363.32489451476795,599.0337552742616,707.8396624472574
22,397.7142857142857,405.7226890756302,442.1218487394958,463.8277311,388.2563025210084,265.25210084033614,373.4621848739496,593.5714285714286,697.2478991596639
23,399.6218487394958,403.1512605042017,453.66386554621846,449.43277310924367,385.42436974789916,259.42857142857144,358.66806722689074,584,714.1008403361344
24,404.3109243697479,392.71008403361344,442.6386554621849,442.7142857142857,385.4201680672269,258.15966386554624,360.05882352941177,546.0252100840336,737.4663865546219
25,399.82278481012656,387.0464135021097,421.2700421940928,430.51054852320675,387.28270042194094,259.13502109704643,363.57805907172997,527.1940928270042,761.6244725738396
26,395.75949367088606,383.55696202531647,412.69620253164555,419.2489451476793,379.1687764,256.5021097046413,362.9957805907173,513.2489451476794,784.1772151898734
27,391.90717299578057,382.9493670886076,400.0506329113924,404.8143459915612,372.0590717299578,254.59493670886076,361.5822784810127,509.37974683544303,805.5105485232068
28,392.34599156118145,378.58649789029533,400.0253164556962,401.56962025316454,372.5021097046413,255.38396624472574,366.72151898734177,499.8565400843882,830.7637130801688
29,392.6624473,388.84388185654007,410.40928270042195,388.65822784810126,372.19831223628694,252.9662447257384,370.56540084388183,504.50632911392404,837.4303797468355
30,393.26160337552744,393.3164556962025,408.32489451476795,390.7552742616034,373.88607594936707,246.39662447257385,373.47257383966246,489.9156118,813.4556962025316
31,394.34599156118145,397.4599156118143,425.2489451476793,390.75949367088606,372.63713080168776,248.1687764,378.9282700421941,465.26582278481015,804.0168776371308
32,397.2881355932203,386.2881355932203,428.27542372881356,386.0211864,364.91525423728814,251.35169491525423,359.96610169491527,446.0508474576271,809.8093220338983
33,392.5805084745763,378.34322033898303,407.53389830508473,374.3771186440678,354.98728813559325,252.0550847457627,362.8008474576271,421.6271186440678,805.6652542372881
34,386.2457627118644,372.6864406779661,403.54237288135596,373.5381355932203,356.8262711864407,247.80084745762713,371.47457627118644,416.70338983050846,783.7457627118644
35,391.5550847457627,368.8474576271187,408.84322033898303,368.84322033898303,362.1144068,240.3050847457627,359.98728813559325,420.4957627118644,760.3728813559322
36,387.2,365.20851063829787,406.5148936170213,363.22127659574465,368.9021276595745,237.10638297872342,361.39574468085107,394.1446808510638,742.0680851
37,387.5319149,364.4340425531915,402.3063829787234,358.8978723404255,368.93191489361703,237.12765957446808,356.5659574468085,367.6212765957447,726.4425531914893
38,388.4808510638298,367.21702127659574,412.92340425531916,362.02978723404254,361.2893617021277,234.89361702127658,359.32340425531913,355.45531914893616,694.3446808510638
39,387.02127659574467,367.8042553191489,398.65531914893614,363.0340425531915,353.2893617021277,229.17446808510638,356.26808510638296,339.2255319148936,684.5702127659574
40,392.91063829787237,377.25957446808513,378.0553191489362,358.8,352.1872340425532,224.91063829787234,346.9574468085106,330.2851063829787,686.6
41,392.07234042553193,377.92765957446807,383.07659574468084,358.59148936170214,347.8085106382979,226.38297872340425,348.1489361702128,317.70212765957444,684.1659574468085
42,389.66525423728814,374.97457627118644,389.53389830508473,350.3644068,347.14830508474574,228.3644068,354.5211864,319.4194915254237,693.6694915254237
43,384.5720338983051,372.3898305084746,382.0381355932203,342.75,344.90677966101697,222.32203389830508,352.70762711864404,321.3305084745763,698.9194915254237
44,401.79237288135596,370.2669491525424,375.65677966101697,334.3644068,340.1313559322034,219.33474576271186,347.20762711864404,318.39830508474574,684.1779661016949
45,378.14406779661016,364.16525423728814,373.1737288135593,325.3262711864407,333.5169491525424,220.28389830508473,349.97457627118644,295.66101694915255,682.8474576271186
46,382.73728813559325,364.85593220338984,375.0211864,330.53389830508473,328.35593220338984,212.67372881355934,350.2542372881356,286.3728813559322,683.2203389830509
47,380.3601694915254,364.5211864,371.8686440677966,329.14406779661016,327.14406779661016,212.86016949152543,353.6779661016949,287.7669491525424,677.0042372881356
48,392.29237288135596,366.3474576271187,382.4618644067797,332.10593220338984,325.02542372881356,208.77966101694915,363.4788136,283.72457627118644,663.8305084745763
49,394.5169491525424,369.0762711864407,382.27966101694915,334.78389830508473,330.47457627118644,212.9322033898305,376.31779661016947,283.64406779661016,664.5974576271186
50,403.5805084745763,365.5762711864407,370.1101694915254,334.4025423728813,331.3728813559322,215.13983050847457,379.97033898305085,290.83474576271186,657
51,405.76271186440675,369.6525423728813,366.0974576271187,333.4491525423729,324.8093220338983,217.5084745762712,374.34322033898303,290.90677966101697,643.1991525423729
52,395.1392405063291,373.4978902953587,368.0168776371308,333.2320675105485,319.9578059,219.20675105485233,366.1603375527426,284.8565400843882,654.5738396624473
53,386.7974683544304,364.7721518987342,365.67932489451476,330.0801687763713,317.41350210970467,219.13924050632912,378.2067510548523,283.63291139240505,666.8691983122363
54,387.10504201680675,363.89915966386553,362.70168067226894,320.56302521008405,319.80252100840335,219.74789915966386,380.0840336134454,284.0924369747899,668.3613445378152
55,390.07142857142856,360.57142857142856,362.2563025210084,314.9033613445378,316.01680672268907,219.14285714285714,373.02521008403363,284.89495798319325,666.4453781512605
56,382.16386554621846,357.2815126,359.9075630252101,316.8697478991597,316.5378151260504,218.14285714285714,372.71008403361344,285.43697478991595,675.6176470588235
57,376.8529411764706,353.2352941176471,348.9495798319328,312.78991596638656,315.57563025210084,219.28571428571428,371.12605042016804,290.20588235294116,694.5672268907563
58,372.2625,355.7583333333333,362.68333333333334,319.52916666666664,312.5375,223.07916666666668,377.3125,285.55,694.8083333333333
59,378.3541666666667,363.7916666666667,358.60833333333335,328.37916666666666,316.75416666666666,221.10416666666666,373.6666666666667,283.27916666666664,682.3625
60,385.275,364.4583333333333,383.625,320.9625,317.06666666666666,214.78333333333333,374.84166666666664,282.0708333333333,664.8958333333334
61,385.8041666666667,367.28333333333336,385.5208333333333,320.12083333333334,316.7916666666667,212.69583333333333,369.3875,285.025,659.9541666666667
62,379.61410788381744,368.8962656,381.16597510373447,326.42323651452284,313.18672199170123,217.2987552,365.9128630705394,279.3692946058091,673.1244813278008
63,380.03719008264466,374.53719008264466,380.4586776859504,322.4669421487603,315.3223140495868,219.4504132231405,364.78512396694214,281.6983471,682.2355371900826
