Distance_(microns),svbint,krint,svb,mlptint,eve-en,cad,kr,mlpt,gt
0,366.54411764705884,394.44117647058823,447.13235294117646,408.69117647058823,501.05882352941177,274.45588235294116,286.1470588235294,246.75,572.9852941176471
1,363.98571428571427,394.15714285714284,465.48571428571427,413.64285714285717,510.25714285714287,277.8857142857143,290.8857142857143,252.34285714285716,605.7285714285714
2,382.4861111111111,405.5416666666667,495.05555555555554,416.7361111111111,485.34722222222223,285.47222222222223,297.6666666666667,256.3333333333333,616.8194444444445
3,403.6621621621622,427.97297297297297,497.2837837837838,423.1756756756757,473.36486486486484,290.56756756756755,296.2567567567568,255.45945945945945,635.8513513513514
4,401.44736842105266,434.36842105263156,493.05263157894734,427.69736842105266,486.3157894736842,294.42105263157896,292.69736842105266,251.97368421052633,649.75
5,386.2716049382716,431.358024691358,483.320987654321,434.1358024691358,484.3703703703704,297.358024691358,295.0,245.8395061728395,639.395061728395
6,379.1011235955056,436.02247191011236,489.8426966292135,440.97752808988764,469.34831460674155,293.5842696629214,301.2022471910112,244.6629213483146,604.4719101123595
7,387.8085106382979,425.3829787234043,506.8404255319149,448.6595744680851,469.47872340425533,299.3936170212766,306.02127659574467,244.3404255319149,598.2765957446809
8,393.92929292929296,437.2929292929293,516.2929292929293,448.8484848484849,467.2121212121212,310.4141414141414,311.0808080808081,239.8989898989899,617.10101010101
9,395.0,427.52884615384613,520.125,442.24038461538464,462.88461538461536,308.2980769230769,318.27884615384613,238.04807692307693,634.0192307692307
10,376.1711711711712,423.3783783783784,523.3603603603603,443.13513513513516,461.44144144144144,294.56756756756755,320.68468468468467,228.61261261261262,634.3333333333334
11,378.0833333333333,425.6666666666667,522.7333333333333,446.81666666666666,461.475,289.0,316.45,223.28333333333333,656.7583333333333
12,375.1746031746032,414.9920634920635,517.2380952380952,440.4920634920635,454.0238095238095,284.7936507936508,308.1031746031746,220.03968253968253,649.5873015873016
13,376.6857142857143,410.9,513.4214285714286,436.9214285714286,438.17857142857144,274.9,297.6642857142857,212.0857142857143,676.9214285714286
14,367.8041958041958,390.3776223776224,507.041958041958,433.83916083916085,457.15384615384613,272.68531468531467,299.73426573426576,209.74825174825176,655.9090909090909
15,358.83673469387753,381.4557823129252,489.3537414965986,424.0816326530612,479.6938775510204,274.40816326530614,299.3741496598639,202.2721088435374,619.1292517006802
16,355.41059602649005,390.12582781456956,486.20529801324506,419.96026490066225,483.50993377483445,276.64900662251654,292.55629139072846,199.95364238410596,599.1059602649007
17,365.6907894736842,385.9013157894737,485.0394736842105,423.7171052631579,478.50657894736844,275.50657894736844,291.8421052631579,200.61184210526315,561.0986842105264
18,368.09090909090907,380.3181818181818,482.90909090909093,414.961038961039,468.73376623376623,275.93506493506493,293.8181818181818,201.05194805194805,601.3571428571429
19,357.55128205128204,379.29487179487177,474.4102564102564,410.54487179487177,460.68589743589746,279.3525641025641,294.5833333333333,201.56410256410257,601.6794871794872
20,355.68152866242036,378.312101910828,474.3630573248408,411.38216560509557,461.5987261146497,281.9171974522293,294.7515923566879,204.48407643312103,574.968152866242
21,360.0509554140127,378.18471337579615,476.7770700636943,415.5796178343949,465.484076433121,277.8980891719745,296.0509554140127,209.74522292993632,567.3566878980891
22,362.84177215189874,407.19620253164555,475.76582278481015,431.06962025316454,472.61392405063293,281.12025316455697,298.3544303797468,212.5379746835443,575.4367088607595
23,359.20382165605093,417.3312101910828,478.04458598726114,447.312101910828,481.43949044585986,287.3312101910828,300.19745222929936,206.69426751592357,583.5796178343949
24,364.74050632911394,388.9620253164557,496.84177215189874,450.53164556962025,484.1392405063291,294.15822784810126,303.7088607594937,199.15189873417722,567.5506329113924
25,356.90506329113924,373.11392405063293,518.506329113924,437.26582278481015,479.9493670886076,296.3354430379747,304.76582278481015,194.36708860759492,530.6645569620254
26,371.7628205128205,371.47435897435895,521.3461538461538,422.90384615384613,468.59615384615387,287.9871794871795,297.63461538461536,190.76282051282053,541.4935897435897
27,362.7225806451613,374.8516129032258,504.89677419354837,416.50967741935483,463.1548387096774,279.2258064516129,296.5483870967742,185.83870967741936,560.7677419354839
28,353.18471337579615,370.8407643312102,495.07643312101914,404.21656050955414,458.07643312101914,276.0891719745223,296.63057324840764,179.22292993630575,538.6624203821656
29,336.5345911949685,355.27672955974845,491.12578616352204,392.1132075471698,441.49685534591197,270.8930817610063,289.9308176100629,174.33962264150944,500.8993710691824
30,330.43125,356.08125,482.43125,383.05625,442.45625,267.63125,284.3875,172.0375,484.4375
31,329.96178343949043,341.9171974522293,480.96178343949043,377.8089171974522,455.19745222929936,273.0,285.4649681528662,169.70063694267515,476.79617834394907
32,330.21153846153845,344.1474358974359,485.1730769230769,376.34615384615387,454.12820512820514,275.95512820512823,285.28846153846155,163.49358974358975,458.5
33,340.484076433121,338.828025477707,488.54140127388536,376.8471337579618,452.5350318471338,275.9171974522293,281.26751592356686,156.46496815286625,446.656050955414
34,345.7548387096774,335.7225806451613,492.23225806451615,377.7741935483871,446.3290322580645,269.741935483871,281.0516129032258,150.84516129032258,445.3354838709677
35,345.06535947712416,337.73856209150324,483.9019607843137,380.2156862745098,448.6732026143791,259.98039215686276,286.0065359477124,146.20915032679738,437.9019607843137
36,348.0718954248366,335.2156862745098,473.3856209150327,387.26797385620915,449.078431372549,254.2941176470588,289.9477124183006,142.12418300653596,428.9281045751634
37,349.0522875816994,334.8562091503268,470.47712418300654,386.6078431372549,444.5359477124183,256.5686274509804,290.359477124183,138.84313725490196,446.1307189542484
38,342.5960264900662,341.6092715231788,468.41059602649005,375.6158940397351,430.82781456953643,252.16556291390728,292.42384105960264,136.08609271523179,455.28476821192055
39,326.9006622516556,340.0662251655629,472.9337748344371,370.3112582781457,426.5430463576159,251.75496688741723,292.8543046357616,134.19867549668874,464.4834437086093
40,321.0522875816994,337.47712418300654,476.67973856209153,374.6666666666667,423.4117647058824,252.56209150326796,294.7516339869281,132.20915032679738,492.29411764705884
41,329.0986842105263,347.6842105263158,471.07894736842104,382.36842105263156,426.42105263157896,250.26973684210526,300.30263157894734,130.84868421052633,504.3421052631579
42,341.5364238410596,343.3708609271523,475.3973509933775,384.5827814569536,432.21854304635764,244.6225165562914,300.07284768211923,129.76158940397352,483.5298013245033
43,335.32026143790847,356.47058823529414,487.73202614379085,383.4901960784314,434.3333333333333,241.28758169934642,300.0065359477124,128.94117647058823,449.5686274509804
44,336.90909090909093,359.85714285714283,489.55194805194805,387.3831168831169,425.57142857142856,239.69480519480518,307.4935064935065,128.94805194805195,432.8051948051948
45,323.30967741935484,356.8838709677419,493.2903225806452,387.2903225806452,413.64516129032256,239.79354838709676,318.6322580645161,128.90322580645162,427.36129032258066
46,326.3636363636364,368.538961038961,503.6623376623377,387.4220779220779,404.4155844155844,237.95454545454547,335.77272727272725,129.5909090909091,436.8961038961039
