Distance_(microns),svbint,krint,svb,mlptint,eve-en,cad,kr,mlpt,gt
0,353,146,547,386,455,143,496,373,349
1,318,141.5,590,319.1666667,485.1666667,163.3333333,484.3333333,328,408.3333333
2,342.4583333,130.875,572.7083333,306.1666667,412.375,150.8333333,340.2916667,252.4583333,433.5416667
3,367.7671233,159.7534247,613.109589,333.6438356,500.9863014,161.4657534,431.6164384,360.0547945,418.9726027
4,385.2368421,144.6315789,604.7105263,331.1578947,497.5,168.9342105,433.2631579,343.9736842,401.8815789
5,410.8018018,149.1261261,600.5855856,330.7027027,511.9099099,178.9369369,454.9459459,313.5495495,391.3513514
6,393.3309353,147.8992806,602.5899281,330.5395683,521.6834532,173.8345324,460.1007194,322.618705,393.4532374
7,397.8344828,148.5655172,601.7862069,327.7034483,543.5103448,171.2689655,457.2482759,309.4068966,393.5517241
8,394.7687075,147.7210884,593.6870748,325.8843537,559.6190476,168.952381,452.5578231,294.2244898,395.829932
9,401.3877551,149.244898,591.3469388,323.4353741,570.0612245,167.7414966,452.5578231,288.6394558,392.0816327
10,395.5238095,147.7142857,594.5306122,320.0884354,554.3945578,167.0136054,457.8027211,288.1836735,394.7278912
11,393.5646259,149.7123288,595.7959184,315.5342466,534.9591837,167.5410959,459.5782313,285.3219178,389.3013699
12,384.9657534,148.6369863,601.760274,316.109589,539.5273973,162.9041096,462.7054795,281.9109589,372.3356164
13,375.2945205,143.3287671,601.4109589,318.5821918,544.3767123,159.7123288,455.2123288,283.0547945,366.7945205
14,380.2551724,146.2896552,606.8482759,316.7310345,565.5517241,160.3172414,452.5103448,280.8482759,372.5034483
15,375.1849315,145.7945205,591.869863,309.5410959,572.0547945,157.1780822,447.1849315,266.5068493,369.4931507
16,358.9931034,143.3655172,580.6137931,306.9448276,554.1655172,159.9310345,451,253.9103448,378.9448276
17,359.4344828,146.6965517,578.1310345,303.5517241,527.1448276,158.4206897,453.2689655,245.262069,376.1517241
18,372.3706294,148.2727273,589.2167832,305.0699301,514.6503497,161.4685315,455.1958042,238.8671329,369.8181818
19,386.8531469,147.2167832,591.8951049,302.4475524,517.2027972,162.1888112,450.7132867,226.1818182,360.5174825
20,384.9370629,146.5454545,600.0559441,297.1328671,514.6993007,161.972028,451.2027972,212.3076923,364.4195804
21,378.6223776,145.3566434,596.013986,297.5174825,511.4685315,163.7902098,450.1118881,203.8531469,372.2377622
22,378.5874126,144.5594406,584.4685315,304.6363636,518.2867133,161.5524476,448.1538462,198.7132867,361.7412587
23,360.3888889,142.4652778,570.2361111,305.2708333,509.7916667,161.7916667,446.875,188.9791667,345.6527778
24,361.3402778,145.4791667,562.6597222,298.8541667,492.4166667,160.0486111,454.6666667,184.0069444,350.4513889
25,367.1805556,148.7222222,559.25,290.3472222,488.8611111,158.3333333,464.1319444,180.7777778,364
26,370.0275862,148.137931,550.4206897,285.4137931,477.1724138,158.8344828,456.2,174.2482759,352.4896552
27,371.4863014,144.7945205,547.7054795,286.9041096,458.5958904,157.1164384,440.6917808,171.9726027,345.3972603
28,366.4794521,143.9726027,549.2260274,288.9178082,450.8219178,153.7328767,433.0273973,169.4589041,350.6164384
29,364.739726,144.6712329,549.7123288,287.2260274,452.4178082,151.9589041,445.0753425,164.3493151,343.4931507
30,362.1034483,151.0413793,554.1724138,284.6413793,454.1034483,152.7862069,439.4137931,161.5724138,339.6137931
31,356,158.1655172,556.9862069,282.1034483,446.7586207,157.4551724,429.8137931,158.5655172,334.2206897
32,351.7517241,157.3310345,559.3586207,282.9448276,452.0482759,154.1448276,432.5448276,155.9862069,342.8896552
33,347.9589041,148.7808219,556.1506849,285.0616438,434.1780822,153.0068493,436.0753425,157.7328767,346.2534247
34,345.9319728,143.8231293,550.292517,286.829932,431.7006803,154.3537415,438.4897959,157.9319728,338.5170068
35,347.7702703,140.25,545.9054054,285.8716216,421.7027027,150.3310811,427.5810811,156.3783784,342.0608108
36,356.3959732,139.3892617,548.9731544,285.5369128,412.9060403,147.0805369,428.9127517,155.8993289,342.8053691
37,346.9127517,139.2885906,553.0939597,285.5167785,413.6510067,149.2684564,422.9530201,156.1006711,336.6778523
38,341.1342282,137.8926174,555.3758389,288.3221477,420.6912752,152.3892617,416.3489933,154.8590604,340.6644295
39,352.0604027,138.5234899,553.2483221,293.1409396,426.9395973,150.4765101,415.7583893,149.704698,342.3892617
40,365.3112583,144.0397351,549.9470199,299.0397351,429.0529801,149.986755,417.0066225,146.4966887,343.4304636
41,366.8627451,144.0784314,555.4379085,305.1960784,428.8823529,148.5163399,412.9346405,143.7320261,341.7385621
42,359.2,145.7857143,566.1483871,307.7419355,419.083871,147.3831169,409.9032258,143.3548387,343.7741935
43,354.2580645,144.3483871,580.7870968,310.2516129,418.9806452,149.5290323,409.883871,146.2193548,348.8903226
44,351.4935897,141.6923077,587.2948718,310.8910256,418.2371795,151.7948718,409.5320513,146.3589744,342.8076923
45,344.4840764,142.3057325,591.0700637,316.2165605,407.5987261,149.6687898,417.2866242,146.2356688,347.7898089
46,351.522293,146.5031847,598.7133758,322.5605096,405.3375796,147.6178344,420.8471338,145.433121,357.6496815
47,353.58125,146.55,598.3125,318.63125,403.45,144.9875,407.66875,143.33125,354.79375
48,362.99375,153.04375,604.1875,320.4375,412.41875,147.56875,400.6625,147.85,356.975
49,364.1375,157.5125,605.53125,319.3625,416.525,147.1625,407.65,150.4125,356.7375
50,360.845679,157.0802469,607.5185185,313.8888889,409.0679012,147.0987654,420.5123457,151.6666667,353.5246914
51,357.1790123,157.3888889,612.0864198,315.4320988,411.5185185,150.8888889,429.7222222,154.0802469,352.4753086
52,362.2901235,167.9691358,608.6851852,315.7654321,417.7962963,153.4197531,435.462963,151.6728395,346.7901235
53,373.2160494,173.4012346,613.8888889,315.0123457,430.117284,152.2345679,438.7222222,147.3024691,345.7530864
54,375.9382716,179.191358,630.0185185,318.3765432,431.1728395,151.6481481,437.9074074,146.0925926,352.9259259
55,367.6728395,186.462963,641.6419753,322.462963,426.9938272,152.117284,443.3333333,148.382716,360.1419753
56,368.2269939,225.5276074,631.3251534,320.2638037,428.7791411,150.4601227,455.5153374,149.3558282,361.2392638
