Distance_(microns),svbint,krint,svb,mlptint,eve-en,cad,kr,mlpt,gt
0,120.6666667,54.8,86.66666667,67,161.8333333,65.66666667,61.4,112.3333333,239.3333333
1,125.3333333,51.125,96.70833333,73.33333333,212.0416667,78.79166667,64.875,126.375,209.9166667
2,195.7575758,89.66666667,159.030303,124.1515152,413.8787879,122.7575758,113.5757576,191.6363636,297.8787879
3,214.6756757,97.48648649,168.3513514,142.2702703,392.4054054,117.8918919,123.8108108,220.6756757,301.2972973
4,211.7317073,96.56097561,180.0243902,150.6097561,361.6097561,113.7804878,133.3658537,257.4146341,333.5609756
5,216.2444444,97.33333333,199.2666667,156.7333333,348.2,112.9111111,146.4666667,273.8444444,369.4444444
6,214.78,98.5,210.86,170.32,342.06,113.62,151.08,271.88,353.38
7,215.7037037,99.59259259,221.1481481,189.8888889,332.4444444,117.3703704,150.537037,267.2407407,298.1296296
8,223.6666667,95.17460317,217.952381,197.1904762,304.3492063,115.4920635,142.3174603,256.3492063,270.5238095
9,250.7763158,97.25,253.3947368,205.9736842,307.9342105,121.7631579,148.1710526,282.7894737,303.8684211
10,251.2168675,100.1445783,265.1325301,202.3012048,344.0722892,128.313253,152.6506024,289.2289157,312.6506024
11,241.2527473,104.6703297,277.6043956,199.4835165,369,131.0549451,152.2527473,288.4285714,304.2637363
12,230.1734694,107.0612245,285.4693878,210.3979592,374.8265306,133.7653061,150.622449,288.744898,299.3367347
13,225.588785,107.3738318,296.4672897,218.3738318,378.5607477,133.2242991,150.3831776,297.5981308,300.682243
14,234.5982143,113.7232143,313.0535714,223.5625,409.2053571,133.1517857,154.4017857,308,307.4285714
15,242.877193,112.4385965,313.745614,224.7631579,450.3684211,131.3333333,160.8508772,306.8070175,302.9736842
16,250.6434783,108.0782609,302.9304348,226.6086957,478.1478261,131,166.5304348,303.9391304,293.0956522
17,250.220339,110.2457627,288.3474576,232.0762712,478.7881356,129.5677966,166.7118644,294.3898305,287.8389831
18,235.0944882,105.8582677,274.1968504,215.5905512,433.1968504,121.1574803,156.0866142,273.5826772,275.6614173
19,231.7152318,101.4533333,279.3443709,208.0662252,376.7880795,118.54,147.2133333,274.9602649,278.8741722
20,249.4702381,107.2440476,306.3392857,227.6547619,389.5714286,122.6428571,152.0416667,308.8809524,300.6666667
21,257.8079096,111.5084746,320.9717514,241.3446328,429.1751412,127.7231638,159.3050847,331.1525424,320.0734463
22,269.3202247,112.6011236,313.5505618,237.8764045,457.5393258,131.1741573,159.9157303,330.8202247,331.8426966
23,273.7374302,113.6703911,306.3184358,234.4748603,493.7094972,132.5251397,158.8938547,323.6201117,340.3240223
24,264.4469274,115.2793296,303.7430168,232.0335196,539.2178771,132.8882682,159.5698324,312.0614525,335.1284916
25,251.9664804,116.6815642,301.9441341,229.4972067,572.8882682,133.3743017,161.7374302,302.8435754,326.575419
26,244.7150838,114.9832402,301.6201117,228.8268156,574.1731844,134.7374302,164.3910615,295.9385475,324.9329609
27,247.1452514,112.5586592,304.5865922,228.7374302,568.7877095,136.2122905,165.5083799,290.3296089,316.4022346
28,255.8426966,114.0842697,312.6460674,231.5449438,579.3932584,137.247191,167.3876404,289.2247191,316.1966292
29,258.3314607,116.5168539,315.1741573,233.258427,590.4606742,136.505618,166.3876404,284.5168539,325.2696629
30,249.7921348,114.2865169,309.849162,232.5449438,598.8764045,134.4606742,164.9438202,271.6312849,325.5674157
31,246.9553073,112.6145251,304.8044693,223.3519553,601.3910615,130.0223464,164.452514,259.0111732,321.0893855
32,247.2833333,114.1888889,296.8611111,213,610.8277778,128.0222222,163.5666667,244.2555556,320.2166667
33,245.4722222,114.9111111,289.4944444,212.1888889,615.9444444,126.0611111,164.2055556,233.1222222,311.35
34,242.6777778,112.7,283.6833333,213.55,612.0444444,122.9277778,162.7333333,229.8611111,311.3611111
35,238.4555556,110.8777778,292.6111111,212.6444444,586.0722222,122.5888889,162.1277778,224.5277778,317.4555556
36,229.2555556,110.5555556,306.7444444,213.8166667,578.0444444,124.2111111,163.4055556,217.4,318.3833333
37,231.0621469,113.7853107,316.7175141,219.4067797,592.700565,124.9435028,168,214.7627119,324.6327684
38,235.519774,114.5310734,317.1242938,226.5254237,594.0112994,121.4237288,169.5423729,209.3050847,331.4915254
39,245.0397727,115.2045455,318.2329545,225.1079545,580.0965909,119.5454545,170.9545455,204.8125,330.8806818
