Distance_(microns),svbint,krint,svb,mlptint,eve-en,cad,kr,mlpt,gt
0,288.721519,120.0189873,334.6455696,175.5759494,228.7594937,127.7531646,200.2721519,229.2974684,193.8417722
1,289.6075949,126.9113924,336.5443038,171.9746835,235.7911392,132.721519,200.9303797,229.1202532,192.778481
2,284.1375,127.64375,338.65625,165.7375,247.2625,132.00625,196.30625,226.1375,189.05
3,278.2875,123.96875,343.4875,165.725,265.7375,129.5875,194.875,219.71875,190.3625
4,260.2592593,120.9135802,336.0493827,163.7839506,274.7222222,126.6111111,194.4012346,211.9135802,190.7839506
5,265.2147239,121.4662577,329.3496933,165,283.2883436,129.3312883,197.0858896,212.202454,194.3558282
6,290.9135802,122.7283951,332.1851852,166.5740741,302.2839506,132.8395062,203.5987654,210.4259259,199.7962963
7,309.2453988,125.5398773,337.1165644,164.7852761,330.2515337,131.809816,201.4478528,204.8343558,200.4539877
8,315.993865,127.9570552,340.404908,162.6871166,362.8220859,134.7300613,194.5092025,202.7607362,198.9631902
9,309.3865031,130.8957055,332.1411043,160.3496933,388.0552147,137.0368098,193.5092025,197.006135,197.404908
10,299.1036585,134.5792683,325.9939024,160.0060976,387.7682927,135.2743902,195.4634146,191.3719512,195.5365854
11,291.5644172,132.7300613,321.6932515,160.7791411,375.8220859,136.0736196,201.9754601,188.8159509,193.8650307
12,278.4662577,130.5337423,316.809816,161.0429448,366.0429448,139.3619632,203.5460123,187.3435583,192.9509202
13,272.4417178,136.3865031,315.6687117,159.202454,360.2515337,141.803681,202.3067485,185.7423313,193.1104294
14,273.8527607,143.1411043,315.2453988,157.0245399,350.4785276,138.2883436,203.0674847,181.7791411,189.4662577
15,275.791411,146.7239264,316.6687117,157.1595092,338.9877301,134.1656442,211.5153374,178.5276074,187.1717791
16,289.2822086,140.7852761,313.4233129,158.9018405,331.4601227,132.8957055,213.8159509,178.4846626,187.0245399
17,317.8231707,131.1829268,310.5914634,158.8109756,330.4817073,134.0853659,208.5426829,172.1402439,185.75
18,323.0243902,126.6097561,310.7195122,156.2682927,333.3231707,134.8536585,201.0792683,164.0121951,183.7012195
19,321.0613497,128.2208589,314.3742331,155.1042945,339.4907975,134.8343558,200.8404908,161.601227,184.0429448
20,322.3128834,128.6319018,313.3435583,154.0613497,338.7791411,132.9141104,200.8343558,160.2392638,182.7177914
21,341.4074074,125.691358,312.3641975,152.9506173,340.0123457,133.0555556,198.0679012,158.8518519,180.1419753
22,333.9254658,124.7142857,309.7515528,150.5217391,342.4347826,132.2360248,192.5652174,153.9378882,176.447205
23,332.6521739,122.310559,306.0124224,150.2608696,348.1987578,133.5341615,195.8322981,149.6770186,174.9689441
24,325.3167702,121.4906832,301.9937888,151.310559,343.8509317,135.4223602,198.9254658,145.3664596,177.2795031
25,310.2670807,124.6149068,299.7267081,150.2111801,339.5465839,133.3416149,198.3291925,144.447205,178.3478261
26,288.5555556,127.617284,297.7592593,147.6419753,341.2901235,128.9814815,193.6790123,147.0185185,176.5246914
27,278.4938272,127.0246914,303.3271605,147.2654321,341.0679012,130.1728395,191.3395062,146.9320988,174.9259259
28,266.9325153,125.196319,311.5460123,146.7852761,324.1288344,133.5521472,195.1165644,140.9815951,171.2760736
29,268.0184049,124.1411043,313.1104294,147.5398773,308.5030675,132.1717791,195.8159509,138.7668712,168.7730061
30,263.1595092,124.9325153,308.3435583,150.1717791,290.9202454,130.4294479,192.4601227,141.404908,166.0429448
31,266.4424242,126.4909091,304.3878788,154.4363636,273.4969697,131.8181818,190.0909091,141.9454545,161.5393939
32,283.75,128.8963415,305.652439,157.6707317,267.097561,132.0792683,190.3292683,142.1036585,159.2439024
33,308.4121212,134.1878788,311.3151515,155.7818182,255.8545455,132.0787879,188.7939394,144.2060606,157.8848485
34,321.3614458,138.0301205,327.753012,151.2409639,241.6807229,132.5421687,190.1024096,144.9216867,158.1385542
35,323.6607143,136.3928571,338.875,148.6904762,232.8571429,129.4761905,194.2559524,144.0833333,159.3214286
36,317.452381,132.7440476,338.1428571,148.9583333,227.8869048,129.1845238,195.1547619,143.7797619,159.9702381
37,295.8830409,127.6374269,327.4327485,148.3040936,221.7192982,130.5263158,196,140.2982456,158.1345029
38,289.137931,127.816092,323.2758621,150.5862069,218.2413793,130,201.1034483,138.7126437,157.9770115
39,291.3863636,126.6931818,328.8920455,152.7386364,218.5340909,128.7386364,204.4602273,137.6136364,157.3693182
40,290.9831461,126.994382,336.3258427,152.741573,217.9719101,131.5,200.994382,139.3202247,158.2022472
41,274.5459459,129.5405405,332.8648649,148.1513514,212.8648649,131.2756757,193.9135135,137.9081081,155.3675676
42,273.591623,133.8429319,332.0314136,149.2146597,212.9790576,128.3769634,200.3403141,139.6649215,156.4816754
43,289.5811518,146.9842932,339.7905759,151.434555,210.6335079,132.3193717,208.7539267,140.3141361,162.6230366
44,293.0989583,154.7447917,344.7135417,150.0104167,204.9947917,132.59375,213.796875,141.296875,165.7395833
45,288.6943005,148.5233161,336.7668394,149.6994819,205.8756477,132.1813472,218.373057,143.3056995,167.5440415
46,295.5699482,142.0932642,323.9533679,150.1865285,208.6994819,133.134715,217.2020725,145.9119171,166.7668394
47,311.0721649,141.4381443,324.5670103,149.5360825,210.4793814,133.6701031,215.3814433,146.3505155,164.0257732
48,334.6649485,143.314433,332.0927835,150.814433,212.0515464,132.7164948,221.7371134,144.1752577,162.9690722
49,352.9587629,142.9381443,333.5103093,150.7061856,214.3865979,131.2989691,231.1340206,143.3556701,164.1597938
50,342.1538462,147.5846154,336.0307692,150.025641,214.8871795,131.2923077,238.2358974,142.0666667,168.7333333
51,317.5482234,157.4923858,340.1827411,152.7208122,211.8680203,130.5888325,234.9898477,142.0507614,170.1878173
52,323.9695431,164.6345178,336.9746193,153.7664975,210.1928934,129.0609137,238.4822335,142.5126904,164.6243655
53,327.8080808,166.3080808,326.9292929,151.1010101,209.7121212,129.4494949,241.3686869,139.8636364,160.6363636
54,339.6111111,172.1969697,322.7777778,151.1313131,212.5656566,132.5,245.6515152,138.7373737,157.7272727
55,364.0909091,173.0656566,327.5909091,151.3888889,209.5151515,133.7626263,253.5909091,138.8030303,157.7676768
56,379.989899,168.6868687,338.0656566,150.8939394,203.7474747,132.7424242,257.2373737,141.8888889,157.8484848
57,378.5909091,166.2777778,348.2020202,150.6414141,203.3333333,131.8686869,261.3030303,145.2525253,159.0707071
58,376.9646465,168.1212121,362.2777778,152.3888889,203.1363636,133.5959596,265.8989899,149.2474747,161.8787879
59,371.1919192,188.8131313,374.8383838,154.2575758,202.5252525,131.4393939,270.5505051,150.1919192,161.9090909
60,369.2121212,210.2979798,386.4040404,155.0606061,205.3333333,129.9242424,282.3282828,149.459596,159.510101
61,355.3686869,209.7171717,392.969697,153.7272727,208.0606061,130.9545455,297.4141414,153.8989899,157.8686869
62,344.3939394,190.8737374,393.3636364,151.4141414,210.040404,133.6767677,302.8030303,158.0353535,158.0252525
63,368.7323232,191.2575758,385.9747475,149.0757576,212.0707071,137.1262626,303.2323232,155.3888889,159.7525253
64,381.145,198.345,381.645,148.325,212.725,140.21,308.2,149.615,160.16
65,366.815,197.305,390.995,150.27,214.845,141.58,319.475,146.115,162.34
66,361.535,188.82,401.405,151.04,216.22,139.595,326.925,144.98,164.135
67,356.425,197.845,412.8,150.04,214.285,137.35,323.69,146.45,162.325
68,375.5621891,217.2736318,421.0099502,149.1641791,211.800995,135.7810945,324.1542289,147.2039801,156.7860697
69,393.9651741,237.9353234,426.721393,149.5820896,210.1243781,135.3233831,331.9303483,147.6169154,153.5373134
70,405.5970149,247.5174129,431.6517413,151.840796,207.1044776,135.0845771,340.9800995,146.5572139,152.8557214
71,401.7114428,238.5223881,443.4079602,154.6169154,205.0547264,136.0895522,347.0099502,145.9004975,151.9900498
72,415.049505,240.4554455,453.539604,154.7722772,203.6633663,135.1188119,351.2871287,146.3465347,152.2821782
73,425.9154229,263.3134328,454.7810945,151.681592,204.7761194,133.7761194,368.4875622,146.3830846,156.159204
74,414.1782178,293.3861386,449.7425743,149.0841584,203.1336634,135.1584158,387.7623762,146.0346535,157.2673267
75,421.165,286.425,454.84,152.555,206.46,136.035,410.58,146.29,155.87
76,461.805,255.925,463.715,155.345,210.17,136.655,418.03,147.345,152.47
77,485.23,229.675,469.895,155.505,215.65,137.47,407.15,149.335,151.64
78,444.9698492,226.0251256,460.8291457,154.8341709,217.4974874,136.9095477,398.080402,149.4723618,151.3467337
79,396.17,221.63,443.775,154.465,212.93,136.285,388.22,148.97,150.48
80,380.2,209.93,437.2,154.88,211.98,136.735,387.06,147.65,149.39
81,407.42,217.11,451.385,155.675,216.105,139.205,396.565,148.1,150.755
82,431.120603,232.9899497,473.678392,157.2462312,218.201005,139.1155779,409.4572864,150.5376884,151.1005025
83,425.9849246,241.4673367,486.1959799,158.7688442,220.3366834,135.9145729,409.7738693,150.9648241,149.0904523
84,427.9447236,238.1060606,487.9447236,160.0150754,223.0904523,136.1356784,403.9497487,147.6080402,146.2763819
85,446.905,240.715,489.57,161.87,224.64,140.415,400.325,145.315,143.99
86,440.315,233.48,494.69,165.8,227.49,141.065,396.775,143.795,142.935
87,415.678392,214.3417085,507.361809,170.0251256,232.4623116,140.1557789,400.4824121,144.6130653,143.5678392
88,381.201005,208.959799,513.6834171,170.3065327,235.8190955,143.6432161,401.4422111,148.7638191,143.7537688
89,380.8888889,227.1010101,521.2525253,169.6212121,241.4444444,149.7626263,399.2424242,155.2323232,145.520202
90,395.8585859,257.9545455,525.4444444,168.959596,246.0808081,151.5858586,403.2020202,156.9040404,147.5707071
91,426.4771574,262.8629442,533.5989848,171.5279188,254.6040609,149.9593909,420.6243655,153.5634518,148.2538071
92,433.0050505,256.7373737,536.1515152,171.9393939,265.1010101,154.4191919,424.7777778,151.6464646,147.989899
93,413.3819095,256.5929648,526.6281407,169.0703518,267.1055276,160.8040201,407.4773869,153.9748744,150.6080402
94,386.0251256,260.040201,519.1256281,167.1557789,266.6080402,166.8190955,393.1708543,154.2562814,152.6180905
95,372.1155779,243.2110553,521.2211055,166.1507538,267.1105528,169.1155779,400.4271357,159.2864322,152.2361809
96,352.241206,221.3266332,529.2060302,166.3919598,269.7336683,169.0502513,409.160804,161.4673367,150.6984925
97,353.0151515,204.8383838,542.4444444,169.1161616,266.4040404,167.1414141,402.479798,160.1313131,150.5555556
98,393.6717172,201.0505051,562.6414141,170.3383838,264.0555556,164.4747475,382.1969697,155.0252525,148.6262626
99,460.5794872,213.2410256,583.4871795,172.7589744,272.1846154,168.1282051,374.6666667,153.8461538,147.4820513
100,504.1502591,209.0932642,579.7150259,174.2072539,274,169.9326425,379.2901554,154.6683938,147.2435233
