Distance_(microns),svbint,krint,svb,mlptint,eve-en,cad,kr,mlpt,gt
0,261.1077844311377,106.72455089820359,340.94610778443115,139.125748502994,527.5808383233533,182.2754491017964,221.88023952095807,120.2994011976048,394.1137724550898
1,256.7857142857143,108.17261904761905,340.19642857142856,138.7202380952381,554.9821428571429,184.1904761904762,218.47619047619048,117.26785714285714,378.07738095238096
2,256.82738095238096,108.94642857142857,345.51785714285717,137.25,572.9940476190476,181.95238095238096,220.4345238095238,116.48214285714286,380.125
3,257.79640718562877,109.26347305389221,349.07784431137725,135.89820359281438,599.9161676646706,179.80239520958085,221.08383233532933,116.83832335329342,392.79640718562877
4,253.76047904191617,108.96407185628742,353.3952095808383,136.67664670658684,631.125748502994,181.34730538922156,217.25149700598803,116.89221556886227,392.311377245509
5,248.3132530120482,108.43975903614458,355.2289156626506,141.85542168674698,651.5963855421687,179.45180722891567,216.49397590361446,116.31927710843374,381.27710843373495
6,244.25149700598803,108.1377245508982,348.18562874251495,145.8622754491018,654.5988023952095,173.688622754491,220.125748502994,115.74850299401197,371.4191616766467
7,241.40718562874252,108.20958083832335,347.78443113772454,145.44910179640718,684.1916167664671,170.4311377245509,222.67065868263472,118.51497005988024,366.0658682634731
8,245.8682634730539,107.52095808383234,348.52095808383234,145.34131736526948,732.8383233532934,171.16167664670658,221.92215568862275,123.02395209580838,365.9101796407186
9,252.33132530120483,106.87951807228916,349.3734939759036,147.56024096385542,761.5180722891566,171.95180722891567,222.98192771084337,127.08433734939759,368.5903614457831
10,253.17469879518072,106.20481927710843,353.3614457831325,146.46987951807228,771.5,174.09638554216866,226.77710843373495,128.87951807228916,367.89156626506025
11,258.03614457831327,106.08433734939759,353.28915662650604,145.74698795180723,789.9578313253012,176.95180722891567,233.14457831325302,129.66265060240963,360.9156626506024
12,263.5240963855422,107.90361445783132,347.80120481927713,143.84337349397592,798.6325301204819,176.2710843373494,242.96385542168676,129.15662650602408,346.95180722891564
13,264.251497005988,109.76047904191617,340.2814371257485,142.2814371257485,790.5089820359282,174.14970059880238,256.58682634730536,128.125748502994,334.20359281437123
14,264.00602409638554,108.52409638554217,332.355421686747,141.34337349397592,789.0843373493976,173.99397590361446,275.8975903614458,128.6987951807229,330.2409638554217
15,260.7530120481928,105.48192771084338,331.84939759036143,142.96385542168676,782.6024096385543,176.5722891566265,294.19879518072287,128.8734939759036,328.46385542168673
16,258.01807228915663,105.48192771084338,334.9277108433735,143.84939759036143,760.5542168674699,179.59638554216866,305.421686746988,129.86144578313252,323.71084337349396
17,257.3433734939759,108.6867469879518,329.8313253012048,141.93975903614458,744.933734939759,180.90361445783134,309.33734939759034,132.59036144578315,318.56024096385545
18,259.0,112.97590361445783,319.86746987951807,142.78313253012047,745.9638554216867,184.86144578313252,310.96385542168673,134.64457831325302,316.0120481927711
19,262.578313253012,115.06024096385542,323.078313253012,144.16867469879517,763.7650602409639,191.60843373493975,310.9578313253012,135.66867469879517,313.4277108433735
20,263.2289156626506,113.93373493975903,342.9578313253012,150.06024096385542,778.9879518072289,195.81927710843374,314.6566265060241,135.4277108433735,314.16265060240966
21,260.06626506024094,112.02409638554217,357.7168674698795,158.75301204819277,770.3614457831326,194.4879518072289,324.2530120481928,133.63253012048193,318.33734939759034
22,256.60843373493975,110.62650602409639,358.56626506024094,160.27710843373495,751.222891566265,189.59036144578315,337.9096385542169,132.0421686746988,317.30120481927713
23,254.0120481927711,110.72289156626506,364.2168674698795,157.9277108433735,736.6807228915662,184.5,356.78915662650604,130.25301204819277,314.9277108433735
24,247.8,114.51515151515152,367.3333333333333,158.74545454545455,724.7333333333333,181.92727272727274,374.6484848484848,126.86060606060606,312.6242424242424
25,238.93333333333334,121.31515151515151,364.5272727272727,167.4,709.3272727272728,180.63030303030303,384.9818181818182,122.55757575757576,308.75151515151515
26,233.52121212121213,126.7090909090909,367.26666666666665,173.8181818181818,701.769696969697,183.84848484848484,390.8,120.86666666666666,305.3636363636364
27,236.38787878787878,129.21818181818182,378.6848484848485,176.1939393939394,690.6787878787878,189.95757575757577,391.44848484848484,123.2060606060606,308.2909090909091
28,251.46666666666667,129.73333333333332,397.1333333333333,177.94545454545454,674.1393939393939,192.88484848484848,386.0060606060606,126.15151515151516,316.2
29,268.7030303030303,128.36969696969697,406.08484848484846,179.44242424242424,650.430303030303,191.21212121212122,374.4848484848485,128.4181818181818,325.06666666666666
30,271.56969696969696,127.19393939393939,411.0,183.96969696969697,626.1696969696969,186.2,368.8969696969697,129.33333333333334,319.1636363636364
31,266.44242424242424,126.18787878787879,402.2,179.01818181818183,604.8060606060606,181.06666666666666,372.0969696969697,129.24848484848485,305.75151515151515
32,264.0181818181818,124.87878787878788,383.44848484848484,169.6,577.9818181818182,178.47878787878787,373.4909090909091,129.15757575757576,305.7090909090909
33,266.2439024390244,129.6341463414634,377.0731707317073,171.22560975609755,548.8780487804878,179.1890243902439,368.0792682926829,127.84146341463415,309.8170731707317
34,271.280487804878,144.84756097560975,372.2682926829268,176.76829268292684,528.109756097561,180.0060975609756,365.3292682926829,125.3719512195122,312.4268292682927
35,276.4634146341463,161.78658536585365,374.1951219512195,177.59146341463415,519.2682926829268,179.66463414634146,370.2621951219512,126.15243902439025,318.5060975609756
36,284.3536585365854,171.7560975609756,391.9085365853659,180.84146341463415,505.5609756097561,180.3658536585366,366.9390243902439,127.78658536585365,318.2073170731707
37,295.1463414634146,168.52439024390245,413.0609756097561,185.85365853658536,487.1158536585366,182.4878048780488,368.140243902439,127.3170731707317,313.2317073170732
38,292.5792682926829,158.1341463414634,433.4634146341463,192.46951219512195,474.1463414634146,183.78658536585365,389.1158536585366,126.11585365853658,310.4634146341463
39,269.85276073619633,146.2883435582822,437.7484662576687,196.5521472392638,463.6196319018405,184.71779141104295,415.07361963190186,126.84662576687117,310.12883435582825
