Distance_(microns),svbint,krint,svb,mlptint,eve-en,cad,kr,mlpt,gt
0,131.25,92.5,152.25,143.75,243,133.25,201.75,131.75,164.5
1,172.1,122.7,177.2,256.8,278.8,147.2,258.5,190.8,233.7
2,164.1904762,108.4285714,148.047619,181.4285714,244,136.3333333,256.8571429,190.7619048,179.5714286
3,265.75,143,203.7142857,180.2857143,276.6428571,158.5357143,358,215.75,195.8214286
4,295.4705882,144.3235294,243.6764706,188.2352941,312.4705882,171.5,401.6470588,223.1764706,229.0294118
5,201.9756098,122.5853659,264.3170732,187.8536585,348.0487805,170.7804878,373.2682927,224.8292683,224.7317073
6,223.6595745,126.2978723,272.7446809,199.9148936,397.8297872,172.5319149,369.5957447,242.3617021,257.7446809
7,249.5490196,132.5098039,276.8627451,217.8235294,421.1372549,170.7843137,398.5098039,244.9019608,296.8431373
8,259.962963,128.6296296,267.8148148,224.5925926,414.3333333,166.9259259,398.962963,245.7592593,286.6111111
9,245.7017544,140,252.4210526,219.2105263,420.6315789,171.5789474,381.8245614,255.3859649,268.7017544
10,233.5084746,143.9830508,250.2542373,215.0847458,448.779661,175.3898305,373.2711864,257.5084746,253.3559322
11,233.0967742,134.8225806,257.0967742,211.1935484,467.1290323,177.7741935,375.016129,254.1129032,259.483871
12,235.8064516,130.3548387,273.8387097,218.4193548,505.3387097,190.3709677,384.6774194,264.1290323,265.9032258
13,232.6129032,126.9193548,280.7419355,215.5,546.4677419,199,390.3870968,262.0967742,253
14,215.8387097,128.0483871,288.016129,203.5,598.0967742,201.3709677,402.1290323,245.0322581,255.2903226
15,206.8709677,128.7903226,292.983871,193.0967742,670.3225806,196.9516129,394.4677419,229.6290323,260.6774194
16,209.3606557,127.7377049,289.852459,187.8688525,753.1639344,193.8360656,371.6393443,232.295082,255.7540984
17,219.4918033,127.5737705,275.3770492,191.6065574,801.7377049,200.6229508,365.2622951,247.0655738,246.704918
18,228.8870968,128.5645161,270.6774194,198.0483871,769.1129032,207.7096774,366.3548387,258.8548387,232.5
19,231.7101449,130.1449275,288.5652174,206.9710145,666.7971014,197.8985507,352.0289855,256.6521739,235.057971
20,216.9324324,130.4054054,298.027027,214.6081081,601.7162162,185.3783784,337.2837838,259.9054054,244.2027027
21,213.7974684,121.1772152,288.0759494,211.8607595,588.2278481,182.556962,334.5949367,260.7974684,248.7341772
22,223.1097561,120.2195122,273.6707317,210.7682927,577.195122,189.2926829,333.9512195,248.0365854,261.0121951
23,222.7241379,120.137931,264.3333333,210.0689655,564.4367816,191.045977,347.5057471,241.0689655,267.5057471
24,230.2473118,124.0645161,261.3333333,204.1290323,561.8709677,186.2150538,356.4193548,238.6666667,278.9354839
25,246.2376238,127.1782178,257.2772277,202.039604,543.3861386,187.950495,353.3663366,243.8415842,290.4554455
26,219.0583333,117.5083333,233.6333333,194.825,481.7416667,177.175,329.1416667,221.3333333,262.4
27,232.0775194,127.4496124,261.4728682,231,509.6744186,208.4341085,374.7364341,244.7829457,279.6511628
28,247.2519685,125.2047244,265.6377953,237.9055118,511.7952756,209.7637795,385.3779528,251.4488189,271.7637795
29,268.3412698,124.6111111,265.6349206,230.3253968,525.2619048,213.0634921,389.6904762,254.547619,275.0396825
30,258.808,126.8,265.352,221.776,559.992,212.976,396.896,254.12,281.776
31,238.6535433,128.3464567,257.8740157,214.007874,589.3543307,207.4645669,394.4645669,245.1968504,278.7165354
32,232.8818898,130.1181102,245.9527559,210.0944882,614.6771654,201.992126,402.0393701,239.992126,275.1496063
33,219.8828125,133.6640625,233,210.328125,624.9921875,201.28125,402.8515625,241.4609375,269.4765625
34,208.9765625,133.0625,225.671875,213.7890625,635.046875,203.703125,397.2109375,239.375,266.4296875
35,212.6640625,127.5,234.03125,220.1796875,657.8984375,205.2578125,397.75,233.6328125,261.75
36,217.4806202,124.2790698,246.4883721,225.2635659,663.248062,213.6046512,400.8527132,231.875969,263.4728682
37,221.3307692,126.2923077,248.9692308,224.0846154,651.3076923,221.7615385,400.1538462,225.5846154,263.7153846
38,229.1230769,130.7692308,247.1615385,221.0923077,650.1846154,223.0076923,403,215.4923077,266.0769231
39,232.4045802,131.0687023,246.0992366,217.221374,666.0687023,219.5801527,407.870229,210.7938931,270.2977099
40,231.8787879,131.7045455,247.1590909,214.6969697,676.3409091,214.719697,410.1590909,214.9848485,258.6818182
41,234.2348485,131.1893939,248.0227273,215.7954545,659.6590909,211.4242424,418.8030303,215.6666667,246.9090909
42,229.8796992,129.3007519,247,212.9097744,634.8796992,217.8195489,423.3609023,208.8796992,253.9548872
43,228.4925373,129.5074627,237.1716418,212.7313433,606.1119403,218.1865672,419.5820896,203.4104478,251.6492537
44,239.2835821,132.5447761,230.2462687,221.7089552,584.6791045,210.9402985,422.119403,203.6641791,246.0447761
